speaker,session,task,pitch_mean,pitch_std,pitch_kurt,pitch_skew,formant_1_mean,formant_1_std,formant_1_kurt,formant_1_skew,formant_2_mean,formant_2_std,formant_2_kurt,formant_2_skew,formant_3_mean,formant_3_std,formant_3_kurt,formant_3_skew
57,1,1,97.09859492,1.572218147,28.78417258,3.982113837,603.6582247,0.698079916,2.010767865,1.607266173,1678.757542,0.290486147,0.645333813,0.841526186,2704.943078,0.176994831,1.469247816,1.407143273
57,1,2,96.10797075,1.464080776,26.74777745,3.700600783,600.0469501,0.66429557,2.130040934,1.58758002,1704.059545,0.29012557,0.537371556,0.710324683,2706.194887,0.191012015,0.969730033,1.250159169
57,1,3,99.29015461,1.457276534,25.30908473,3.872060459,625.5743142,0.659169838,1.620841586,1.471386705,1705.703689,0.277512743,0.459196541,0.654799871,2709.712308,0.187677069,1.03735421,1.272183935
57,1,4,90.49783804,1.269578901,26.92304985,3.150506513,597.7489263,0.707240319,1.471181266,1.476005303,1637.306884,0.313779657,-0.037454075,0.891401635,2755.139178,0.20157173,0.891994202,1.343623991
57,2,1,108.5308284,1.730516128,23.04428563,4.099630632,599.3701863,0.724235166,2.080230804,1.676408627,1763.274968,0.273213521,0.691613847,0.661055819,2778.325351,0.188669864,0.791804735,1.12019978
57,2,2,101.4931116,1.371735295,24.70484217,3.789018336,622.0602198,0.688727798,1.726033835,1.5058015,1760.103884,0.30566174,0.534727067,0.727886108,2798.133771,0.204268615,0.191020259,0.973528624
57,2,3,99.66724684,1.66448979,27.34035193,4.355121246,649.0470525,0.700163019,2.413813264,1.750724482,1754.079176,0.300128395,0.610061517,0.681752289,2785.619375,0.200087698,0.391428891,1.015776553
57,2,4,107.659666,1.477784658,19.84223933,3.969632918,648.3220195,0.720522799,1.09467443,1.426677706,1697.793546,0.328510651,0.244697904,0.92396509,2784.127702,0.231056498,-0.112632014,0.829641594
58,1,1,105.3816729,2.851274464,45.32696832,4.866341344,593.9082369,0.639176139,2.565916377,1.819993631,1697.481676,0.282594706,-0.069023635,0.476990832,2758.357888,0.176355227,1.346111049,1.235526956
58,1,2,101.1157479,1.116743,21.32472019,3.062121901,556.2482946,0.586799989,4.71485447,2.265439256,1658.770962,0.273901467,0.302764836,0.50186442,2696.999473,0.171005757,1.205920209,1.064554044
58,1,3,120.8349554,1.683865527,13.98625248,3.475403037,595.050851,0.602230361,2.412470602,1.773939568,1648.53089,0.289619834,0.023960676,0.629949973,2754.391844,0.171014313,0.950671956,1.096064072
58,1,4,93.73566615,1.308069008,20.03719603,2.848710164,645.849055,0.591403941,0.913288093,1.348157628,1663.188125,0.281774289,-0.752684103,0.522044924,2745.694862,0.209890608,-0.030073747,0.891278357
58,2,1,109.9900869,1.277466897,17.65716244,3.340890812,558.0913829,0.636481996,4.030477855,2.130566933,1633.410448,0.279005413,0.133619391,0.556584838,2659.023568,0.166262775,2.53218471,1.524322815
58,2,2,107.6115098,1.470949171,20.76799322,3.677597089,555.9725459,0.566489434,5.055973455,2.301590422,1638.031493,0.280625447,0.284914658,0.429223464,2659.177755,0.163678717,2.382009033,1.429885637
58,2,3,116.8531888,1.393654772,13.89457452,3.371163149,591.5279913,0.644681317,2.770456525,1.895108377,1652.103878,0.27733147,0.142401121,0.576803206,2660.689838,0.172901073,1.647886679,1.315119282
58,2,4,92.30472656,1.438235322,20.67948805,3.066313898,588.7856901,0.53523144,3.628543801,1.971459766,1560.188964,0.268901285,0.201900906,0.776997772,2583.595683,0.195550823,1.117347225,1.254436744
59,1,1,206.2444414,0.950124344,-1.284417034,0.098319668,577.7772954,0.508949898,9.554506124,2.714948305,1823.666594,0.230794283,0.57286874,0.239189226,2858.397221,0.112471017,3.514922994,0.72889423
59,1,2,211.4777332,0.873256176,-1.399368775,-0.100490835,597.7302018,0.529985657,6.324218592,2.222717848,1859.416888,0.262645722,0.22644575,0.14915439,2930.480714,0.121463408,2.857320728,0.103856758
59,1,3,205.7027036,0.695808075,1.626406733,0.157011109,658.1299713,0.495862896,6.436016162,2.23420426,1864.940917,0.234962709,0.627876319,0.34194984,2875.30903,0.112002065,2.901862792,0.285041362
59,1,4,217.204103,0.699840722,0.959109991,0.219188093,587.2416007,0.466669739,5.483869001,2.002751082,1739.643129,0.228661275,1.601730684,0.940237085,2770.423205,0.135469175,2.975083566,-0.079460173
59,2,1,211.8906961,1.141658371,-1.089510997,0.490627831,591.0013956,0.559583182,7.904417752,2.560178676,1815.160819,0.248673601,0.376976753,0.252784675,2845.961601,0.119334343,2.829239676,1.12052679
59,2,2,201.0011877,0.82318003,-0.069009618,0.179965267,622.8542769,0.572445866,3.850724548,1.725119682,1893.377568,0.259442664,0.245996469,-0.033455361,2983.404446,0.110398743,2.654656753,0.656044758
59,2,3,197.1217446,0.764754472,1.776065206,0.536491826,676.5332219,0.542831538,6.437455008,2.353884155,1897.096962,0.251404613,0.56539162,0.341464693,2942.064128,0.115424238,2.342802408,0.739702
59,2,4,207.6151222,0.564772928,3.597547243,0.195639052,623.8314205,0.464841928,4.782364218,1.679357572,1777.585003,0.228615529,0.877802246,0.85299337,2847.900684,0.119541634,4.339314391,1.198080649
60,1,1,192.0173703,1.036631698,-0.938716932,0.346465582,570.2804147,0.516767553,8.703260125,2.57320305,1775.307807,0.253006744,0.340370406,0.432596025,2801.386874,0.128527668,3.13572311,1.228198896
60,1,2,186.7260616,0.87689879,-0.636660713,0.126708903,630.1441529,0.528304871,4.633178953,1.873349369,1869.221581,0.249751537,-0.027240202,0.153533372,2848.93145,0.134570559,2.196198434,0.947934653
60,1,3,177.4979254,0.909214138,0.109628945,0.423381978,634.9178107,0.506546725,4.742909103,1.90326737,1807.29216,0.24757065,0.327284173,0.39600765,2860.28813,0.118921586,2.92979888,0.953415917
60,1,4,206.4144847,0.715887333,2.564986701,0.675082395,628.1487266,0.61742413,3.337659089,1.713728972,1812.899524,0.235425031,0.259659389,0.697937456,2902.33465,0.139635545,1.960543539,0.787978004
60,2,1,206.792621,1.592941165,0.222947146,1.192022204,550.2275461,0.496898744,13.02304261,3.087801668,1758.881818,0.255382528,0.192584053,0.361666165,2752.945758,0.122790921,3.2588934,1.243123705
60,2,2,197.8488785,0.782364777,-0.532218241,-0.059734351,554.518174,0.540662471,7.223983812,2.276689153,1879.218103,0.239729551,0.690198552,0.097048613,2860.033234,0.12682886,3.335402103,0.890486614
60,2,3,188.3644782,0.78317598,-0.494841273,0.039015179,585.2483085,0.506834477,9.805220263,2.569082761,1815.199438,0.247874343,0.434689653,0.286647005,2926.447167,0.102565447,4.947499495,0.331586853
60,2,4,223.8636165,1.096592834,1.65812886,1.305116589,532.953116,0.285835239,19.31151988,2.581604702,1627.306033,0.26588444,-0.305862743,0.450701242,2727.201864,0.107913503,3.794552195,1.174846188
61,1,1,196.041707,0.778121209,0.05305674,0.088455031,598.5248594,0.523091757,8.094149934,2.258851076,1800.685144,0.261933012,-0.08019605,0.241783652,2762.795479,0.154995773,1.221785657,0.718518386
61,1,2,204.1276872,0.701401483,-0.307713169,-0.219930593,608.7531322,0.499693932,5.730750493,1.767637206,1857.165099,0.26244157,-0.309563872,-0.066966337,2850.418222,0.133696263,1.98085284,0.677720147
61,1,3,192.8182442,0.705414938,1.292548583,0.296893202,613.2048375,0.496821975,8.910954668,2.42247777,1779.076444,0.263257268,-0.052487051,0.306510159,2740.286713,0.14180417,1.970225103,0.856800543
61,1,4,171.8709775,0.79761658,1.216698904,0.482428096,551.0187117,0.45908238,7.866508123,1.944580742,1665.729575,0.254193322,0.249405867,0.701708462,2647.418778,0.133759033,2.373789778,1.180975058
61,2,1,195.8882094,0.727733478,0.098883282,-0.039936607,660.9669557,0.505280668,5.18829134,1.663826264,1874.163282,0.249473947,-0.064706905,0.173001287,2864.211017,0.158642352,0.712801584,0.247729553
61,2,2,213.2446202,0.695654521,0.821843065,0.134399962,646.486243,0.516552225,3.065487591,1.20983108,1939.087158,0.236904117,-0.052583805,-0.02768258,2980.502411,0.111927205,3.051515357,0.448335936
61,2,3,198.5178567,0.697204568,1.680506682,0.388268893,630.5689345,0.50916452,6.668825496,2.025294335,1779.923055,0.257834217,0.443433446,0.525448111,2853.131206,0.145310921,1.675841113,0.409700737
61,2,4,194.0596641,0.772929914,1.612769971,0.610402174,641.4876304,0.512258199,2.077426726,1.144812627,1792.932684,0.23911121,0.661748823,0.707059536,2842.245403,0.153143247,1.059818191,0.310459239
62,1,1,122.1891361,1.204732673,8.911045435,1.851913519,631.37517,0.610395347,2.170205831,1.573909176,1708.867553,0.285588657,0.43581012,0.680855361,2727.992616,0.186283481,0.74825513,1.124576357
